MSA_NUM,MSA_NAME,EDU_TOTAL,EDU_10,EDU_12,EDU_14,EDU_16
19780,"Des Moines-West Des Moines, IA Metro Area",314424,21076,75484,101626,116238
19820,"Detroit-Warren-Livonia, MI Metro Area",2309602,223190,608673,790498,687241
19860,"Dickinson, ND Micro Area",13368,800,3930,4910,3728
19900,"Dillon, SC Micro Area",16366,4174,6562,4578,1052
19940,"Dixon, IL Micro Area",19140,2008,6823,7203,3106
19980,"Dodge City, KS Micro Area",16918,5500,3648,4798,2972
20020,"Dothan, AL Metro Area",76990,11514,26865,23478,15133
20060,"Douglas, GA Micro Area",27111,6653,11337,6147,2974
20100,"Dover, DE Metro Area",83405,10205,27758,27393,18049
20140,"Dublin, GA Micro Area",30308,5528,12907,7873,4000
20180,"DuBois, PA Micro Area",44575,3903,22272,11555,6845
20220,"Dubuque, IA Metro Area",48020,2578,15533,15182,14727
20260,"Duluth, MN-WI Metro Area",146398,7153,40975,60930,37340
20300,"Dumas, TX Micro Area",10703,3487,2997,2702,1517
20340,"Duncan, OK Micro Area",22763,2541,9063,7030,4129
20380,"Dunn, NC Micro Area",61277,7998,17825,23652,11802
20420,"Durango, CO Micro Area",29100,1684,5128,9677,12611
20460,"Durant, OK Micro Area",21086,2953,7063,6414,4656
20500,"Durham-Chapel Hill, NC Metro Area",277035,30608,51636,69621,125170
20540,"Dyersburg, TN Micro Area",20313,2257,9109,4807,4140
20580,"Eagle Pass, TX Micro Area",25046,8862,6546,6221,3417
20620,"East Liverpool-Salem, OH Micro Area",57997,5821,27072,17146,7958
20660,"Easton, MD Micro Area",18621,1818,5152,5936,5715
20700,"East Stroudsburg, PA Micro Area",90268,6813,31891,29366,22198
20740,"Eau Claire, WI Metro Area",82889,4964,24277,30232,23416
20780,"Edwards, CO Micro Area",35917,3887,6888,8782,16360
20820,"Effingham, IL Micro Area",17710,835,6019,6933,3923
20900,"El Campo, TX Micro Area",20664,4882,7044,5570,3168
20940,"El Centro, CA Metro Area",86187,26069,20209,27491,12418
20980,"El Dorado, AR Micro Area",21383,2986,7612,6954,3831
21020,"Elizabeth City, NC Micro Area",32760,4336,9506,12526,6392
21060,"Elizabethtown, KY Metro Area",64587,6090,21842,23223,13432
21120,"Elk City, OK Micro Area",11708,1906,4284,3534,1984
21140,"Elkhart-Goshen, IN Metro Area",99984,19724,35816,26532,17912
21220,"Elko, NV Micro Area",27498,4772,8003,10340,4383
21260,"Ellensburg, WA Micro Area",19327,1774,5351,6228,5974
21300,"Elmira, NY Metro Area",47269,4422,15907,16604,10336
21340,"El Paso, TX Metro Area",396186,82324,97331,128534,87997
21380,"Emporia, KS Micro Area",17196,2079,5680,5353,4084
21420,"Enid, OK Micro Area",30771,4336,10458,8916,7061
21460,"Enterprise-Ozark, AL Micro Area",53080,7202,15514,18941,11423
21500,"Erie, PA Metro Area",143534,10752,56297,38663,37822
21540,"Escanaba, MI Micro Area",19402,1033,6956,7810,3603
21580,"Espanola, NM Micro Area",21168,4374,6083,7534,3177
21640,"Eufaula, AL-GA Micro Area",16042,3490,5742,4757,2053
21660,"Eugene-Springfield, OR Metro Area",183300,15877,43261,73681,50481
21700,"Eureka-Arcata-Fortuna, CA Micro Area",72642,6889,18334,27446,19973
21740,"Evanston, WY Micro Area",11198,1382,3587,4281,1948
21780,"Evansville, IN-KY Metro Area",189639,16522,63537,66641,42939
21820,"Fairbanks, AK Metro Area",53688,3383,13472,21187,15646
21860,"Fairmont, MN Micro Area",10425,706,3628,3985,2106
21900,"Fairmont, WV Micro Area",29770,2286,12057,8500,6927
21980,"Fallon, NV Micro Area",12549,1145,4132,5422,1850
22020,"Fargo, ND-MN Metro Area",108957,3777,21575,41867,41738
22060,"Faribault-Northfield, MN Micro Area",31732,2833,9486,10141,9272
22100,"Farmington, MO Micro Area",36191,6363,11300,13081,5447
22140,"Farmington, NM Metro Area",64989,9927,21201,23822,10039
22180,"Fayetteville, NC Metro Area",190979,18183,49530,79728,43538
22220,"Fayetteville-Springdale-Rogers, AR-MO Metro Area",242159,37435,70453,65389,68882
22260,"Fergus Falls, MN Micro Area",28963,1502,8385,11932,7144
22280,"Fernley, NV Micro Area",26665,4423,7747,10764,3731
22300,"Findlay, OH Micro Area",38707,2635,13640,12544,9888
22340,"Fitzgerald, GA Micro Area",13959,2263,5426,4786,1484
22380,"Flagstaff, AZ Metro Area",66175,7323,15508,22581,20763
22420,"Flint, MI Metro Area",220083,18173,71661,86332,43917
22500,"Florence, SC Metro Area",107087,16292,36120,32985,21690
22520,"Florence-Muscle Shoals, AL Metro Area",75249,9961,25495,23670,16123
22540,"Fond du Lac, WI Metro Area",54234,4321,19842,18733,11338
22580,"Forest City, NC Micro Area",35555,5521,10740,13514,5780
22620,"Forrest City, AR Micro Area",15494,2907,5567,5146,1874
22660,"Fort Collins-Loveland, CO Metro Area",160028,7147,26723,52657,73501
22700,"Fort Dodge, IA Micro Area",19057,1821,5280,8177,3779
22780,"Fort Leonard Wood, MO Micro Area",24552,1600,7618,9611,5723
22800,"Fort Madison-Keokuk, IA-MO Micro Area",22494,1690,8853,8140,3811
22820,"Fort Morgan, CO Micro Area",14117,2930,3930,5278,1979
22840,"Fort Payne, AL Micro Area",36725,8583,13811,10637,3694
22860,"Fort Polk South, LA Micro Area",26274,2898,9792,8005,5579
22900,"Fort Smith, AR-OK Metro Area",154352,23569,54331,50789,25663
22980,"Fort Valley, GA Micro Area",13289,2192,4250,4522,2325
23060,"Fort Wayne, IN Metro Area",217107,19993,65614,74928,56572
23140,"Frankfort, IN Micro Area",16712,2155,7389,4699,2469
23180,"Frankfort, KY Micro Area",38912,3971,14532,10293,10116
23240,"Fredericksburg, TX Micro Area",11453,1615,3012,3446,3380
23300,"Freeport, IL Micro Area",23979,1806,8132,9205,4836
23340,"Fremont, NE Micro Area",18263,2272,6096,5955,3940
23380,"Fremont, OH Micro Area",31712,2691,12250,12416,4355
23420,"Fresno, CA Metro Area",456632,119636,103420,145193,88383
23460,"Gadsden, AL Metro Area",54816,9392,17463,19982,7979
23500,"Gaffney, SC Micro Area",28491,5778,10698,8123,3892
23540,"Gainesville, FL Metro Area",128346,10668,28249,38895,50534
23580,"Gainesville, GA Metro Area",93345,19153,29562,23379,21251
23620,"Gainesville, TX Micro Area",19076,3217,6580,6090,3189
23660,"Galesburg, IL Micro Area",35366,3903,12149,12497,6817
23700,"Gallup, NM Micro Area",34332,7615,11709,10726,4282
23780,"Garden City, KS Micro Area",18074,5547,4463,4873,3191
23820,"Gardnerville Ranchos, NV Micro Area",24853,1208,6247,10415,6983
23860,"Georgetown, SC Micro Area",30443,3992,10621,9805,6025
23900,"Gettysburg, PA Micro Area",52776,5679,22170,13958,10969
23940,"Gillette, WY Micro Area",26698,1784,9655,10061,5198
23980,"Glasgow, KY Micro Area",27389,4380,12256,7031,3722
24020,"Glens Falls, NY Metro Area",70387,6578,26025,20860,16924
24100,"Gloversville, NY Micro Area",29722,3462,11501,10233,4526
24140,"Goldsboro, NC Metro Area",64142,10160,18327,25574,10081
24180,"Granbury, TX Micro Area",30124,4378,8819,9989,6938
24220,"Grand Forks, ND-MN Metro Area",47251,2621,11706,17833,15091
24260,"Grand Island, NE Micro Area",37684,5465,11969,13330,6920
24300,"Grand Junction, CO Metro Area",75457,6961,21783,27573,19140
24340,"Grand Rapids-Wyoming, MI Metro Area",409565,38910,114556,135546,120553
24380,"Grants, NM Micro Area",14748,2105,6937,4141,1565
24420,"Grants Pass, OR Micro Area",41268,3937,12632,17533,7166
24460,"Great Bend, KS Micro Area",13652,1857,3863,5421,2511
24500,"Great Falls, MT Metro Area",41923,3306,11997,16701,9919
24540,"Greeley, CO Metro Area",133540,18377,33890,45816,35457
24580,"Green Bay, WI Metro Area",166218,12867,53524,56458,43369
24620,"Greeneville, TN Micro Area",36331,5873,15404,8511,6543
24660,"Greensboro-High Point, NC Metro Area",385811,49657,106647,121398,108109
24700,"Greensburg, IN Micro Area",13686,1459,6669,3844,1714
24740,"Greenville, MS Micro Area",25128,5362,7443,7424,4899
24780,"Greenville, NC Metro Area",94922,11877,23484,32614,26947
24820,"Greenville, OH Micro Area",26627,2620,12707,7887,3413
24860,"Greenville-Mauldin-Easley, SC Metro Area",336597,44591,91516,102725,97765
24900,"Greenwood, MS Micro Area",20947,4663,6527,5976,3781
24940,"Greenwood, SC Micro Area",35193,6890,10208,10058,8037
24980,"Grenada, MS Micro Area",10731,1709,3564,3888,1570
25060,"Gulfport-Biloxi, MS Metro Area",133677,18405,37502,50108,27662
25100,"Guymon, OK Micro Area",10554,3177,2748,2370,2259
25180,"Hagerstown-Martinsburg, MD-WV Metro Area",149494,17759,56446,44886,30403
25220,"Hammond, LA Micro Area",62116,11392,20960,17521,12243
25260,"Hanford-Corcoran, CA Metro Area",79636,22688,20196,26657,10095
25300,"Hannibal, MO Micro Area",20031,2835,7708,5665,3823
25340,"Harriman, TN Micro Area",28613,3657,11147,8614,5195
25380,"Harrisburg, IL Micro Area",12443,1288,4078,5231,1846
25420,"Harrisburg-Carlisle, PA Metro Area",297304,23508,101843,79734,92219
25460,"Harrison, AR Micro Area",23469,2784,8876,8290,3519
25500,"Harrisonburg, VA Metro Area",57649,9050,19403,12188,17008
25540,"Hartford-West Hartford-East Hartford, CT Metro Area",651652,53144,168053,183155,247300
25580,"Hastings, NE Micro Area",18662,1522,5841,7220,4079
25620,"Hattiesburg, MS Metro Area",72678,9245,19818,23866,19749
25700,"Hays, KS Micro Area",13700,677,3930,4489,4604
25720,"Heber, UT Micro Area",12310,1288,2395,4618,4009
25740,"Helena, MT Micro Area",41494,2041,9111,13682,16660
25760,"Helena-West Helena, AR Micro Area",10278,1724,3316,3917,1321
25780,"Henderson, NC Micro Area",22938,4527,8534,6643,3234
25860,"Hickory-Lenoir-Morganton, NC Metro Area",193552,33404,60710,63541,35897
25900,"Hilo, HI Micro Area",100581,8147,33888,34528,24018
25940,"Hilton Head Island-Beaufort, SC Micro Area",91966,10231,28691,26546,26498
